qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
2799,"Does the woman really believe the man is a ""psycho stalker""?",3,T15XvRqmhqU,The man is actually a private investigator.,She thinks the man is creepy.,"Yes, she really does believe this, she is being cautious","No, she doesn't really believe this, she is being sarcastic",0,60
2800,How does the woman feel about the man?,2,T15XvRqmhqU,"No, she does not appreciate the man's jokes since she looks uninterested.",The woman is annoyed by the man's presence.,The woman finds the man to be funny because she often laughs and smiles at what he says,The woman finds the man to be annoying because she often cringes and frowns,0,60
2801,What is the atmosphere like between the woman and the man at the beginning of the video?,2,T15XvRqmhqU,The atmosphere is tense because they are arguing about politics.,The atmosphere is uncomfortable because they are sitting too close to each other.,The atmosphere is awkward because both people are trying to flirt with one another,to manipulate one another.,0,60
2802,Why does the woman raise her hand up at 0:06?,3,T15XvRqmhqU,She raises her hand up to make a point about the truth.,She raises her hand up to indicate that she is about to feel guilty and tell the man,She is about to tell the man something vulnerable about herself.,She raises her hand up to indicate that she is about to be vulnerable and tell the man the truth,0,60
2803,Does it seem like the women appreciates the cloak?,0,T1icdxz0TNs,"Yes, she explains her sentiment behind the cloak.",The woman is expressing her appreciation for the cloak.,"Yes, she does not appreciate the history behind the cloak.",The woman is talking about her favorite color.,0,57
2804,How does the feel about the clock?,3,T1icdxz0TNs,She thinks the cloak is too heavy.,She is indifferent towards the cloak and its significance.,The cloak is an important element of her culture.,She holds the cloak to a very high regard.,0,57
2805,Why does the woman at the podium take off her glasses and nod?,0,T1icdxz0TNs,She is motioning that she has finished her work at the podium.,She takes off her glasses to wipe her nose.,She is nodding in agreement.,She takes off her glasses to adjust her earrings.,0,57
2806,Why is the woman in the audience singing at the end?,1,T1icdxz0TNs,The woman is singing because she is happy.,"It is a clip that is not chronologically later, so at the time she was singing the woman at the podium in",The woman is singing to show off her voice.,She is helping augment the presentation,0,57
2807,Why is the woman talking about her coat?,2,T1icdxz0TNs,The woman is finishing her speech.,It is a non sequitur that doesn't address the question asked.,It has emotional significance to her,The woman is talking about her favorite food.,0,57
2808,Does the man with the black suit enjoy conversation?,1,T6x-kDiQsWM,He is actually uncomfortable and wants to leave the conversation.,"Yes, he is constantly smiling and is engaged in conversation.","No, he is only carrying the conversation forward to be polite.",The man in the black suit is pretending to enjoy the conversation.,0,52
2809,How are the two men in suits interacting as they talk?,1,T6x-kDiQsWM,The man in the green suit is actually a robot.,Their emotions and responses are exaggerated slightly,The two men in suits are constantly arguing with each other.,The two men are willing to talk to each other.,0,52
2810,How does the blonde man make everyone else feel?,3,T6x-kDiQsWM,He annoys them.,He confuses the audience.,He makes them uncomfortable.,He amuses them.,0,52
2811,How does the man in the blue tie react to what the other man is saying?,1,T6x-kDiQsWM,The man in the blue tie is annoyed by the other man's story.,The man in the blue tie is curious about the other man,The man in the blue tie is intrigued by the other man's story.,The man in the blue tie does not react to what the other man is saying.,0,52
2812,How does the man on the left (green suit) feel?,2,T6x-kDiQsWM,He is feeling nervous and anxious.,He is interested but shows contempt.,He is both surprised and in awe.,He is feeling amused and entertained.,0,52
2813,Is the man with the green coat a calm person?,0,T6x-kDiQsWM,"Yes, he appears to give confident and collected responses.",Jimmy is surprised by the man's calm demeanor.,The man in the green suit is amused by the conversation.,"No, because he laughed when he saw the face",0,52
2814,What are the emotions of the large man in the background?,2,T6x-kDiQsWM,He is distressed.,The large man in the background is angry.,He is amused by what he is doing.,"The large man in the background is getting more nervous, he shifts in his seat.",0,52
2815,What is the man in the green suit's reaction to the man's face that appears in the background?,1,T6x-kDiQsWM,The man in the green suit is annoyed by the interruption and tells Jimmy to get back to the conversation.,He laughs and finds the whole thing absurd/silly,The man in the green suit is surprised by the sudden appearance of a cat.,The man in the green suit is interested.,0,52
2816,Why does the audience cheer?,1,T6x-kDiQsWM,The audience is cheering for no reason at all.,They are amused by what the men are saying.,The audience is cheering because they won a prize.,The audience is cheering for the cameraman.,0,52
2817,Why does the blonde man bite at the man with the blue tie?,2,T6x-kDiQsWM,He is friendly towards the man with the blue tie.,He is annoyed with the man in the green suit for hacking into the system.,He is pretending to be angry to make a joke.,The blonde man is jealous of the man in the green suit.,0,52
2818,Why is there immense laughter in the background?,1,T6x-kDiQsWM,They are laughing at the man's green suit.,The laughter is a result of the men telling jokes and amusing them.,They both tell bad jokes.,laughing at the joke.,0,52
2819,Did the woman seem comfortable in the situation?,0,T9nEjXhobTM,"No, she was really quiet and acting nervous throughout the encounter.","Yes, she appeared to be at ease and asked him about his favorite color.",She is being awkward.,The woman is annoyed and wants to leave the situation.,0,60
2820,How does the person in white feel?,1,T9nEjXhobTM,The person in white feels ignored by the others.,He feels awkward around the other two people because they are not really talking to him,He feels irritated around the other two people because they are not really talking to him,The person in white is impressed by the conversations around them.,0,60
2821,"Why did the woman say that she ""should get going""?",3,T9nEjXhobTM,The woman was in a hurry and did not want to miss the movie.,The woman was running late for an appointment.,The woman had to catch a train.,The woman was uncomfortable in the situation.,0,60
2822,Why does the man in white interrupt the woman in blue?,0,T9nEjXhobTM,He is very eager to join the conversation between the other two people,The man in white interrupts the woman in blue to ask for directions.,He is very eager to discuss a subject he knows a lot about.,He interrupts to correct the woman's statement.,0,60
2823,Why does the person in white get up?,0,T9nEjXhobTM,He thinks it is polite to stand up and introduce himself to the girl.,He is trying to catch a fly.,He thinks she is beautiful and stands up to confidently introduce himself to the girl.,The person in white is meeting someone and shaking their hand.,0,60
2824,"Why was there a silence after the man in the white shirt said ""he's awful""?",0,T9nEjXhobTM,The woman seems to disagree with the man since she watched the movie.,The man in the white shirt is actually the director of the movie.,The woman is offended by the man's comment.,Everyone agreed with the man since no one responded.,0,60
2825,How does the man feel when his question isn't answered?,3,TA3Xy53hMMY,He is confused about the man's response.,He is indifferent to the man's non-response.,that his question wasn't answered.,He does not like that the man isn't answering his question.,0,60
2826,How does the man respond when being asked a question?,3,TA3Xy53hMMY,The man answers the question.,He looks confused and unsure of how to respond.,He jumps out of his seat because he is surprised by the question.,The man does not want to answer.,0,60
2827,How does the man standing behind the podium feel?,1,TA3Xy53hMMY,He is satisfied with the answers he is getting.,He wants his question to be answered.,He is worried about his hair.,He believes that he has made a strong argument.,0,60
2828,How does the man with white hair feel about being the questions he is being asked?,2,TA3Xy53hMMY,He likes being asked questions.,He is confused by the questions.,He doesn't like the question.,He finds it very frustrating.,0,60
2829,What is the mood of the room?,2,TA3Xy53hMMY,The mood of the room is tense.,The mood of the room is serious.,The mood of the room is quiet.,The room seems fun and lively.,0,60
2830,How does the man in the backseat show he feels uncomfortable?,2,TGbe5v-Pz2E,He does not say anything and tries to distance himself from them.,He starts sweating and fidgeting in his seat.,He keeps looking back and forth and shifts uncomfortably in his seat.,He starts singing loudly to distract himself.,0,60
2831,How is the man in the backseat trying to deescalate the fight?,2,TGbe5v-Pz2E,The man in the backseat is trying to change the subject.,The man in the backseat is trying to distract them with jokes.,The man in the backseat is trying to deescalate the fight by encouraging the people in the front to relax.,The man in the backseat is trying to deescalate the fight by remaining silent and ignoring the situation.,0,60
2832,How is the woman making this situation worse rather than better?,0,TGbe5v-Pz2E,The woman is making this situation worse by picking at the driver when he complains.,The woman is making this situation worse by making eye contact with the man who is driving.,The woman is constantly checking her phone and not paying attention to the road.,The woman is constantly interrupting the man while he is driving.,0,60
2833,"Is the smiling woman happy when she asks ""why are you yelling?""",3,TGbe5v-Pz2E,the driver's enthusiasm for yelling is infectious and brings her joy.,She finds the situation amusing.,She is surprised by the man's comment.,"No, the woman is not happy, as she laughs at how angry the driver is about a small matter.",0,60
2834,Why does the girl open her eyes wide?,3,TGbe5v-Pz2E,She is annoyed by the boy's behavior.,She is happy to be part of the prank.,She is surprised and overjoyed by the boy's behavior.,She is surprised and upset by the boy's behavior.,0,60
2835,Why does the girl put her finger to her head?,1,TGbe5v-Pz2E,She is showing that she is in a deep thought about something.,She is showing that she is stressed out by the driver's behavior.,The girl is checking her phone.,The girl is frustrated with the argument.,0,60
2836,"How does the woman's tone change after the man says ""that's why I'm reading it""?",3,TNVwN7IfVAw,The woman's tone changes because she feels angry that he spoiled the book's,The woman's tone changes because she is excited to show the man her favorite bookstore in New York.,The woman's tone changes because she is surprised by the man's comment.,The woman's tone changes because she feels bad that she spoiled the book's ending for the man.,0,60
2837,What is the tone of the man in the hoodie when speaking to the woman?,1,TNVwN7IfVAw,a happy and high energy,He sounds disinterested because he speaks to the woman in a monotone and low energy voice.,The man is speaking to the woman in a sarcastic and mocking tone.,The man is speaking to the woman in an excited and animated tone.,0,60
2838,Why does the man cover his face with his hand?,0,TNVwN7IfVAw,The man covers his face with his hands to demonstrate his frustration at the woman.,The man covers his face with his hand to hide his tears.,that he is feeling sleepy.,The man covers his face with his hand out of frustration with the woman's offer.,0,60
2839,Why does the man look down and shake his leg?,1,TNVwN7IfVAw,The person has a fear of heights but at the same time enjoys looking down from tall buildings.,He doesn't want to be bothered but he is also fidgety.,He is uncomfortable in the woman's presence.,He is slightly nervous and keeps tapping his foot.,0,60
2840,Why does the man throw his book down onto the table?,1,TNVwN7IfVAw,The man throws his book onto the table because he is angry at the hospital counselors.,The man throws his book onto the table because he acts dramatic towards the woman for spoiling the book for him.,The man throws his book onto the table because he is confused about what to do with,He throws his book onto the table because he is still unsure about staying with the woman.,0,60
2841,Why does the woman look down towards the end of the video?,3,TNVwN7IfVAw,The woman is confused and looks down to gather her thoughts.,She is feeling guilty and looks down to reflect on her actions.,The woman looks down because she is feeling dizzy.,She is being teased and looks down to think of a comeback.,0,60
2842,Does it seem like the man with glasses is understanding what the woman and George are saying?,3,TP4alkgoZis,It is an indication that he understands what she is saying.,It does seem like the man understands because he engages in the conversation with them and,He is paying attention to what George and Lynne are saying.,It does not seem like the man understands because he keeps on trying to come up with new solutions and they keep on denying him.,0,60
2843,How can you tell the man in the black suit is relaxed?,2,TP4alkgoZis,The man in the black suit is relaxed because he doesn't show any signs of stress or discomfort.,The man in the black suit is the CEO of the company.,The man in the black suit is relaxed because he speaks softly and smoothly while sitting back with his legs crossed.,casually on the couch and -> The man in the black suit is relaxed because he lounges casually with his feet up.,0,60
2844,How can you tell the man in the glasses is nervous?,2,TP4alkgoZis,His demeanor is nervous and fidgety.,because he doesn't speak up much and avoids,The man in the glasses is nervous because he stammers when he speaks and holds the notebook in his hand anxiously.,"Yes, he seems nervous and keeps fidgeting with his hands.",0,60
2845,How does the man with glasses feel?,3,TP4alkgoZis,He feels aware of what is happening.,He is confident in his abilities to turn the company around.,He is excited about the company's future.,He feels unsure of what is happening.,0,60
2846,What is the tone of the woman in the video?,1,TP4alkgoZis,The woman is confident and assertive in her tone.,The woman's tone is calm and assertive.,The woman's tone is confident and sure.,The woman's tone is upset and frustrated.,0,60
2847,Why does George move around the room?,2,TP4alkgoZis,He moves around because he feels anxious and wants to create a calmer environment.,George moves around the room nervously.,He moves around because he feels anxious and doesn't know what to do with himself.,George moves around the room to stretch his legs.,0,60
2848,Does the man in light blue agree that the man in striped blue has no emotions?,3,TTY4WKXoPac,"The man in light blue agrees with the man in striped blue's lack of emotions, for the most part.",The man in light blue thinks the man in striped blue is emotionless.,"Yes, he agrees that the man in striped blue has little to no emotions.",The man in light blue does not disagree that the man in the checkered blue has no emotions.,0,59
2849,How does the man in the blue shirt show he is engaged with the conversation?,2,TTY4WKXoPac,He is staring blankly at the wall.,He is actively participating in the conversation by interrupting and changing the subject.,He nods his head along with the story.,He tells his own opinion.,0,59
2850,How does the man in the blue show he is engaged with the conversation?,0,TTY4WKXoPac,The man in the blue shows he is engaged in the conversation by listening closely.,He uses the conversation to share his viewpoints.,He tells his own opinion.,He wants to deliver his punchline.,0,59
2851,Why does the man in the blue suit attribute luck to the man in striped blue's success?,2,TTY4WKXoPac,The man in the blue suit attributes luck to the man in the striped blue's success because he thinks the man in striped blue is lucky to have a good sense of humor.,The man in the blue suit thinks the man in striped blue got lucky with a chance encounter that set him on the path of success.,The man in the blue suit thinks the man in the striped blue is luckily successful because he thinks the man in striped blue has done a good job by not having emotions.,The man in the blue suit thinks the man in the striped blue is successful because he has a good sense of humor.,0,59
2852,Why is the man in light blue concerned about his age?,2,TTY4WKXoPac,The man in light blue is concerned about his age because his doctor warned him about aging.,The man's done his preparation and his appearance suggests he's concerned about looking older.,The man in light blue is concerned about his age because he thinks that he should look younger.,They seem to have a friendly relationship with each other.,0,59
2853,Are the men friendly with each other?,0,T__twbwyFq0,"Yes, since they are carrying on a casual conversation with banter about the painter's work.",The two men are discussing politics.,The two men are indifferent towards each other.,"No, since the man with the frizzy hair shouts a curse word at the man",0,60
2854,Does the man in the suit admire the man behind the canvas?,0,T__twbwyFq0,"Yes, since he pays attention to what the man behind the canvas says and listens to what he's told to do.",The man in the suit has similar views as the man behind the canvas.,"No, because he constantly interrupts the man behind the canvas and disregards his input.",The man in the suit is actually jealous of the man behind the canvas.,0,60
2855,Why did the man throw away his painting utensils,1,T__twbwyFq0,The paints he was using were contaminated and made him sick.,He is dissatisfied with the art he makes and feels that it is pointless to continue.,The man threw away his painting utensils because he wanted to start a new career as a chef.,The man threw away his painting utensils because he spilled coffee on them.,0,60
2856,Why does the man with the gray hair scream at the canvas?,1,T__twbwyFq0,He screams at the canvas because he wants to frighten the man,He screams at the canvas because he's disappointed with how the painting is going and he wants to express his frustration.,He screams at the canvas because he's angry at the paintbrush.,He screams at the canvas to get the attention of the other artists in the studio.,0,60
2857,How does the man in the purple shirt feel about the other man's idea?,2,TewPhK6CZ-Q,He does not like the idea.,He likes the idea.,he thinks it could be improved,The men are discussing the possibility of starting a bakery.,0,59
2858,How does the man on the left feel about the other man?,1,TewPhK6CZ-Q,The man on the left is jealous of the other man's ideas.,He respects his opinion.,The man on the left is talking about a different topic.,He likes him.,0,59
2859,How does the man on the right talk?,1,TewPhK6CZ-Q,He seems to be very confident while speaking.,he is passionate about his topic,The man on the right talks in a monotone voice.,The man on the right is stammering and unsure of himself.,0,59
2860,Is the man in the purple shirt interested in what the man on the right says?,2,TewPhK6CZ-Q,He is not interested in what the other man says.,"no, he was more interested in the scenery behind the other man",he wasn't engaged or focused,They are discussing something else entirely.,0,59
2861,What is the mood of the conversation?,3,TewPhK6CZ-Q,The men are excited and enthusiastic about the idea.,The mood of the conversation is happy.,The conversation is somber and serious.,slow-flowing and a lot of thinking,0,59
2862,Are the men mad at each other?,0,Tfw2mq2wJls,"No, the men agree with each other.",The tone of the conversation is sarcastic between the two.,They are not mad at each other.,The men are shouting at each other.,0,58
2863,Does the man on the right believe what the man on the left is saying?,3,Tfw2mq2wJls,"He's not convinced, but pretends to agree.",The man on the right is in denial and refuses to believe what the man on the left is saying.,The man on the right is distracted and not paying attention to what the man on the left is saying.,"Yes, he sees the logic in his words",0,58
2864,How are the men acting in the conversation?,2,Tfw2mq2wJls,The men are laughing uncontrollably.,The men are acting robotic in the conversation.,The men are acting dignified in the conversation.,The men are acting interested.,0,58
2865,How do the men feel about one another?,1,Tfw2mq2wJls,One of the men is derisive towards the other.,The two men respect each other.,They are friendly towards one another.,The two men are secretly plotting against each other.,0,58
2866,How do the men feel about their conversation?,2,Tfw2mq2wJls,They find the conversation pointless.,They're bored with the conversation.,They take it seriously,They take it seriously.,0,58
2867,The man on the left's nods suggest that he is,1,Tfw2mq2wJls,The man on the left's nods suggest that he is interested in listening to,following along with what the other man was saying,The man on the left seems bored with the other man's long-winded explanations.,The man on the left is distracted by his phone.,0,58
2868,Why did the man on the left widen his eyes while he was talking?,1,Tfw2mq2wJls,He was surprised,To stress his point,He was surprised.,They are discussing their favorite TV shows.,0,58
2869,Why did the man on the right furrow his brows?,0,Tfw2mq2wJls,He was thinking and concentrated,He was angry at the man on the left,He is hungry and thinking about lunch.,He is puzzled by the content of the discussion.,0,58
2870,Does the situation between the two women escalate?,3,TgfJD9geSac,The situation between the two women does not escalate and both maintain their composure.,The two women interact politely with each other.,The woman in blue is actually the mother of the beige woman.,The situation escalates because the beige woman screams at the woman in blue at the end of the video.,0,60
2871,Does the woman in beige respect the woman in blue?,0,TgfJD9geSac,The woman in beige does not seem to respect the woman in blue because she sounds resentful and puts the blame on the woman in blue.,The woman in beige is jealous of the woman in blue.,The woman in beige could use some respect for the woman in blue.,The woman in beige seems to be in love with the woman in blue and blushes every time she is near her.,0,60
2872,How does the woman in blue feel about the woman in beige?,0,TgfJD9geSac,The woman in blue seems to feel frustrated and flustered by the woman in beige's changing needs in their relationship.,The woman in blue seems to be annoyed by the woman in beige.,The woman in blue agrees with the woman in beige's behavior.,The woman in blue seems kind and understanding towards the woman in beige since she is her mother,0,60
2873,Is the woman in blue successful at calming down the woman in beige?,2,TgfJD9geSac,The woman in blue tries to help the woman in beige calm down.,The woman in blue is successful at calming down the woman in beige because they stop fighting,The woman in blue is not successful at calming the woman in beige because the woman in beige explodes in anger at the end of the video.,The woman in blue tries to start an argument with the woman in beige.,0,60
2874,What is the source of conflict between the woman in blue and the woman in beige?,3,TgfJD9geSac,The woman in blue is upset that her daughter called her a bohemian instead of a hippy.,The woman in blue is upset because the other woman ate her sandwich.,The woman in blue is upset because the other woman is wearing the same outfit as her.,The woman in blue believes that their relationship as mother and daughter is dysfunctional while the woman in beige feels disappointed in the way that she is back at home and dislikes the way she is being treated.,0,60
2875,Why does the woman in beige yell at the woman in blue and interrupt her?,2,TgfJD9geSac,The woman in beige yells at the woman in blue because she is always interrupting and talking too much.,The woman in beige is annoyed because the woman in blue is not taking her problems seriously.,The woman in beige is annoyed about what the woman in the blue is implying and feels that she is not listening to her.,The woman in beige is angry because the woman in blue is wearing the same outfit as her.,0,60
2876,What kind of expression does the lady in red give?,1,ThpV4osXuCk,The lady in red is smiling and happy.,She gives an exasperated expression.,The lady in red is confused and lost.,She is paying attention to the situation,0,60
2877,Why does the man in black have both hands out and up?,2,ThpV4osXuCk,Because he is trying to defuse the situation,"No, he's frustrated and emphasizing his point.",Because he is mad and putting emphasis on the words he's saying,Because he's trying to show off his dance moves.,0,60
2878,Why does the man in black shrug?,3,ThpV4osXuCk,doesn't know how to respond,The man in black shrugs because he is thinking of what to say.,The man in black shrugs because he forgot his luggage.,He is questioning what the other man is telling him to do.,0,60
2879,Why does the woman in red roll her eyes?,3,ThpV4osXuCk,She thinks that the men who are yelling are immature.,The woman in red is annoyed with the man's hat.,The woman in the red shirt is annoyed with the man's yelling and thinks he is being ridiculous.,She is tired of seeing the man yell.,0,60
2880,Why is the African American man angry?,1,ThpV4osXuCk,The man is frustrated with the situation.,His requests are not being met.,He is angry at himself for missing his flight.,The men are furious about their delayed flight.,0,60
2881,How does the woman demonstrate her frustration?,0,TmPrJM8XTKA,The woman demonstrates her frustration by raising her voice and demanding that the man get out.,The woman demonstrates her frustration by rolling her eyes and telling the man to stop talking nonsense and get out of the car.,frustration asking many questions and refusing to believe the answers the man gives,The woman demonstrates her frustration by ignoring the man's claims and then suddenly demanding that he get out of the car.,0,60
2882,What is the man's attitude toward the woman?,3,TmPrJM8XTKA,The man's attitude toward the woman is annoyed because he thinks she is overreacting.,He remains calm as the woman talks to him.,He is excited to show the woman his new dance moves.,The man's attitude toward the woman is calm because he feels confused as the woman yells at him.,0,60
2883,Who is the dominant person in the conversation?,3,TmPrJM8XTKA,The woman is dominating the conversation by talking over everyone else.,The young man is the dominant person in the conversation because he is the only one making sense.,in this conversation because she answers the questions.,The woman is the dominant person in this conversation because she guides where the conversation goes by asking all of the questions.,0,60
2884,Why did the woman get mad at the man?,1,TmPrJM8XTKA,The woman is extremely exasperated that the man isn't understanding at all and is furious at him for his behavior.,The woman gets mad at the man because she believes that he is lying to her.,The woman gets mad at the man because she believes that he is deceiving her.,The woman gets mad with the man because she knows that he is making fun of her.,0,60
2885,Why did the woman tell the man to get out?,2,TmPrJM8XTKA,The woman tells the man to get out because he is wearing a green shirt.,She tells the man to get out because she is joking around with him.,She tells the man to get out because she is angry with him for lying to her.,The woman is annoying the man because he is talking too much.,0,60
2886,Why does the woman not ask more questions about the man's mother and her death?,3,TmPrJM8XTKA,The woman does not ask more questions about the man's mother and her death because she thinks he is lying.,The woman does not ask more questions about the man's mother and her death because she is uninterested in knowing more details about the man's personal life.,The woman is too distracted by the nonsensical conversations to ask more questions.,The woman does not ask more questions about the man's mother and her death since she is now satisfied that the man is not a murderer and her death was from natural causes.,0,60
2887,How does the curly haired man feel about marriage?,1,TsT0ExNMK3I,The curly haired man feels indifferent about marriage.,"The curly haired man feels conflicted about marriage, because he is seeking advice about it","The curly haired man feels excited about marriage, because he believes it will solve all of his problems",The curly haired man feels skeptical about marriage.,0,60
2888,How does the curly haired man feel about the man in the black jacket?,1,TsT0ExNMK3I,"He feels a strong disdain for the man in the black jacket, believing him to be arrogant and incompetent.",The curly haired man looks up to the man in the black jacket because he is more experienced than him,The curly haired man's tone towards the man in the black jacket is aggressive.,The man in the brown suit is jealous of the man in the black jacket.,0,60
2889,Why does the man in the black jacket move his hand around while speaking?,1,TsT0ExNMK3I,The man in the black jacket is trying to catch a fly with his hand while speaking.,The man in the black jacket moves his hand around while speaking to add emphasis to his words through body language,The man in the black jacket moves his hand around while speaking to show his enthusiasm.,The man in the black jacket moves his hand around while speaking because he is trying to catch a fly buzzing around him.,0,60
2890,Why does the man in the black jacket sit down with the curly haired man?,1,TsT0ExNMK3I,The man in the black jacket sits down with the other man to challenge his beliefs about marriage.,The man in the black jacket sits down with the other man so they can speak on an equal level,The man in the black jacket sits down with the other man so they can argue on an unequal level.,The man in the black jacket sits down with the curly haired man to assert his dominance.,0,60
2891,Why is there a woman watching the men through the window?,0,TsT0ExNMK3I,The woman is watching through the window to make sure the man in the black jacket doesn't say the wrong thing,The woman is watching through the window to make sure the man in the black jacket doesn't,The woman is waiting for her husband to finish talking to his friend.,The woman is watching through the window to make sure the men don't say the wrong thing.,0,60
2892,Are the 2 men in agreement?,2,TyFWoohX0bo,The men are discussing their favorite movies.,The men are arguing about the importance of feedback.,"Yes, they build off each other during this conversation and validating what the other is saying.",Are the 2 men in agreement about the same thing.,0,57
2893,Does the man in blue value expertise?,0,TyFWoohX0bo,"Yes, he is asking questions that he actually wants to know the answers to, and came to an expert for the truth.","Yes, he asks questions related to expertise without understanding the answers.","No, he just came to the expert because he has nothing better to do.",The man in blue is not interested in expertise and only wants to show off his knowledge.,0,57
2894,Does the man in the dark blue shirt facing away from the camera sound interested?,2,TyFWoohX0bo,"No, every time the other man finishes talking, he moves onto the next subject.",He is distracted by something else and not paying attention to the conversation.,"Yes, he is engaged throughout the entire conversation.",He is annoyed by the conversation and wants to leave.,0,57
2895,How does the bald man feel about expertise?,1,TyFWoohX0bo,The bald man feels confident that expertise will lead to success.,He thinks it can only be attained after experience with feedback,The bald man thinks expertise is overrated.,He thinks it is easily attainable,0,57
2896,Is the man in blue passionate about medicine?,1,TyFWoohX0bo,"No, the man in red is not passionate about medicine.","Yes, he has spent his whole life devoted to it.",The man in blue is a professional chef.,"No, he doesn't seem like he's interested in medicine or teaching medicine",0,57
2897,Is the man in grey an inquisitive person?,1,TyFWoohX0bo,The man in grey is wearing a hat.,"Yes, he is curious about the topic.","No, he is not interested in the conversation.","No, he is not interested in the topic.",0,57
2898,Is the man in the blue passionate about the topic being discusses?,2,TyFWoohX0bo,"No, he appears to be interested in the conversation.",The man in blue didn't want to keep listening to what the other men were saying.,"Yes, he is able to explain the topic for a long time, suggesting he enjoys discussing it.",The man in blue is watching them but he isn't focused on the conversation.,0,57
2899,What does the man in blue think creates expertise?,2,TyFWoohX0bo,The man in blue thinks that being knowledgeable in a particular subject creates expertise.,He thinks expertise is created by watching videos.,He thinks intelligence and knowledge about a particular subject creates expertise.,must be an expert on the topic,0,57
2900,What is the man in the light blue's shirt demeanor?,2,TyFWoohX0bo,He is bored and disinterested.,He is agitated and emotional.,He is calm and explaining the reality of the situation.,The man in the light blue's shirt is enthusiastic and energetic.,0,57
2901,Which man is more knowledgeable about the topic being discussed?,1,TyFWoohX0bo,The younger man is more knowledgeable because he is younger and therefore has more recent education and up-to-date information than the older man.,The older man is more knowledgeable as the younger man is paying close attention to what he has to say.,The man on the left is less knowledgeable.,The man is knowledgeable about the topic.,0,57
2902,Why are the two men talking?,2,TyFWoohX0bo,They want to criticize people's thoughts about reaching expertise,They are discussing the benefits of expertise.,The man not shown wants the bald man's opinion on expertise,They are arguing about the best way to develop expertise.,0,57
2903,Does the man in the suit seem genuine when he says that they are grateful?,3,UQsPI7lADiI,He seems annoyed when he says that they are grateful.,Yes because he smiles when he says that they are grateful.,He is checking his phone while he says that they are grateful.,"No, because he seems annoyed when he says that they are grateful.",0,60
2904,What is the atmosphere of the room like?,1,UQsPI7lADiI,They are all very serious around each other.,"The atmosphere in the room is professional, as the people are acting in a businesslike manner.","The atmosphere in the room is comical, as the woman in the blue is making jokes",The people in the room are all wearing silly hats.,0,60
2905,What is the woman in the blue shirt's effect on the people around her?,1,UQsPI7lADiI,The woman in the blue shirt is ignored by everyone around her.,The woman in the blue shirt is trying to be funny but makes the people around her feel uncomfortable.,The woman in the blue shirt is the CEO of Lux Life Holding.,The woman in the blue shirt is very unfriendly and makes the people around her feel unwelcome.,0,60
2906,What were the man and woman in the suits thinking when the woman in the blue shirt was talking to them?,1,UQsPI7lADiI,They were trying to be professional with the woman but they were offended and angered by her lack of humor.,They were trying to be polite to the woman but they did not think that her jokes were funny.,The man and woman in suits were discussing the woman's outfit.,The man and woman in suits were impressed by the woman's humor.,0,60
2907,Why was the man in the white jacket intensely staring at the man and woman in the suits and gesturing when he was speaking to them?,2,UQsPI7lADiI,He pounds his fist on the table to accentuate his point.,He was intensely staring and gesturing because he was trying to make the man and woman feel uncomfortable and intimidated.,He was intensely staring and gesturing because he was trying to emphasize how much the man and woman owed him.,The man in the white jacket was trying to impress the man and woman in suits with his knowledge of gluten-free pancakes.,0,60
2908,Why was the woman in the blue shirt smiling and talking so much to the man and woman in the suits?,2,UQsPI7lADiI,The woman in the blue shirt wanted to impress them and make herself seem gracious because she is.,The woman in the blue shirt is trying to sell the man and woman in the suits a timeshare.,The woman in the blue shirt wanted to impress them and make herself seem interesting because they are foreign.,The woman in the blue shirt wanted to impress the wealthy representatives and make herself seem interesting.,0,60
2909,Does the man in the blue shirt feel threatened by the red haired man?,0,UUuXfyfCaL4,No since he hands a weapon over to the other.,because the other man is physically larger than him and thus scary.,The man in the blue shirt is the one holding the toy gun.,"Yes, because the red haired man is pointing a gun at him.",0,60
2910,Does the man with the red hair feel confident around guns?,1,UUuXfyfCaL4,He is nervous and unsure around guns.,"No, he hesitantly approaches the man with the gun.",He thinks the guns are toys and plays with them confidently.,"Yes, he thinks he is a gun expert.",0,60
2911,Is the man in the blue shirt confident?,1,UUuXfyfCaL4,The man in the blue shirt is not afraid to play with the real gun.,"Yes, as is seen he easily performs his moves.","No, he is nervous and doesn't know what he is doing.",The man in the blue shirt is afraid of heights.,0,60
2912,is the man serious in suggesting that it might work on some people?,0,UUuXfyfCaL4,"Yes, he does believe some would fall for that trick.",The man is unsure of his opinion.,The men are discussing their favorite colors.,The man is confident that it will work since he says it can.,0,60
2913,why does the red haired person change his voice when he gets the gun?,3,UUuXfyfCaL4,He is scared of the other man and can't help but use a scared voice.,The red haired person is trying to imitate a famous actor.,The red haired person is afraid of the toy gun.,"the man is trying to impersonate a gangster, and is adding a bit of comedy to the situation",0,60
2914,Describe the woman's mood throughout the video,0,UUukBV82P9A,Her mood changes based on what she is saying.,Describe the woman's mood as professional and polite.,The woman is excited about the future of glasses and cameras.,The woman is bored with the topic of achieved and ascribed statuses.,0,58
2915,Does the woman seem confident about what she's saying?,1,UUukBV82P9A,The woman is talking about something completely different.,She seems confident.,The woman seems uninterested in what she's saying.,"No, because she's making a lot of different faces.",0,58
